Date,Price
1,109.503319
2,109.735687
3,108.860428
4,109.36393
5,109.27092
6,109.635033
7,110.115288
8,110.951843
9,110.73497
10,110.78138
11,110.409615
12,110.626488
13,110.285698
14,110.610992
15,111.501755
16,110.192719
17,110.091988
18,110.030083
19,110.603264
20,111.346863
21,112.013016
22,112.167915
23,112.198898
24,112.229912
25,112.477791
26,112.330612
27,111.494041
28,111.114487
29,112.05172
30,112.787613
31,112.934792
32,112.880547
33,113.120651
34,113.074165
35,112.988968
36,112.547501
37,112.446762
38,108.054863
39,109.162491
40,108.837166
41,107.411949
42,106.389526
43,108.20977
44,108.101349
45,109.015343
46,109.046341
47,109.209
48,107.086632
49,107.884445
50,108.031631
51,107.729111
52,109.027809
53,109.626602
54,111.430794
55,111.34523
56,111.508553
57,111.360771
58,111.096359
59,110.287628
60,110.404259
61,110.427605
62,110.552025
63,111.741844
64,111.86631
65,112.169579
66,112.325089
67,112.457306
68,111.998459
69,112.496162
70,113.009399
71,114.082558
72,114.385887
73,114.525879
74,114.494759
75,115.575668
76,115.14019
77,115.186859
78,116.244492
79,116.376678
80,116.283348
81,115.319077
82,115.614563
83,116.291122
84,116.921036
85,117.364304
86,117.387642
87,117.232094
88,117.550949
89,116.322212
90,117.31768
91,117.061012
92,117.092171
93,117.893143
94,117.659828
95,118.68634
96,118.624138
97,118.530777
98,118.546349
99,117.473206
100,117.96312
101,118.390793
102,119.35511
103,119.230705
104,119.821732
105,119.837265
106,119.362877
107,118.07975
108,115.948959
109,117.457619
110,117.659828
111,116.376678
112,118.118637
113,118.872948
114,119.54937
115,119.408768
116,119.705536
117,118.041992
118,118.69799
119,117.581146
120,117.018837
121,115.816086
122,117.464027
123,117.448433
124,117.487457
125,118.549637
126,118.979195
127,118.854187
128,119.479019
129,119.572792
130,117.870125
131,118.705826
132,120.580246
133,120.939468
134,120.92392
135,120.861481
136,120.642776
137,121.111351
138,119.885155
139,120.252258
140,118.166931
141,118.409065
142,115.605202
143,113.332504
144,115.105385
145,113.808914
146,114.363373
147,115.277153
148,112.309341
149,114.191597
150,115.409958
151,117.018837
152,113.551178
153,113.020103
154,113.426201
155,111.692352
156,110.153755
157,110.981651
158,113.020103
159,112.965378
160,113.191917
161,114.535233
162,114.433731
163,115.847305
164,114.769547
165,112.246895
166,114.449318
167,114.144745
168,115.269379
169,116.433121
170,115.425575
171,115.691185
172,114.082283
173,113.863571
174,115.191269
175,115.488083
176,116.300331
177,116.292488
178,115.667664
179,119.072929
180,119.775841
181,118.932358
182,119.253288
183,119.033569
184,118.798157
185,119.425903
186,120.132118
187,119.731979
188,121.081711
189,120.916862
190,120.673607
191,120.861992
192,122.297974
193,121.646667
194,122.792282
195,122.588356
196,121.999809
197,122.674629
198,121.638809
199,120.673607
200,121.042427
201,120.603012
202,117.448448
203,118.131149
204,119.088509
205,118.868744
206,119.151299
207,120.54808
208,120.948273
209,120.108604
210,121.356285
211,118.515663
212,118.649055
213,117.746613
214,119.331772
215,116.067322
216,115.47879
217,113.893715
218,112.763672
219,116.200691
220,115.879013
221,114.207535
222,114.403748
223,112.810768
224,113.501297
225,111.178581
226,113.101082
227,110.605705
228,111.876923
229,115.455246
230,115.494476
231,116.655861
232,115.886841
233,114.850998
234,116.773582
235,118.445023
236,118.421501
237,119.339615
238,116.067322
239,117.21302
240,116.969711
241,115.486618
242,113.838768
243,114.474373
244,114.474373
245,115.196289
246,116.856911
247,117.72464
248,117.977119
249,116.494026
250,116.202148
251,115.342278
252,114.332497
253,114.27726
254,111.4767
255,111.382065
256,109.58342
257,110.735168
258,111.460945
259,110.561623
260,111.453056
261,108.999626
262,108.06089
263,105.260345
264,104.179573
265,103.122475
266,105.599556
267,106.490997
268,104.952675
269,106.68824
270,107.216797
271,106.427887
272,108.368515
273,110.111961
274,108.723526
275,105.812584
276,104.960571
277,105.654793
278,104.976349
279,105.512779
280,106.490997
281,107.579659
282,106.632996
283,106.609314
284,106.909096
285,107.224648
286,106.333206
287,106.987991
288,108.336945
289,109.149551
290,109.039085
291,107.974075
292,105.568001
293,105.315559
294,104.913239
295,105.575897
296,103.390709
297,102.325706
298,100.97673
299,104.605614
300,103.627388
301,103.856133
302,102.246826
303,101.213387
304,105.418114
305,102.806946
306,104.711189
307,106.804146
308,106.907219
309,105.599113
310,105.266144
311,104.259293
312,104.623978
313,108.302505
314,108.373901
315,108.643448
316,108.524513
317,108.579948
318,108.469025
319,107.684135
320,107.834801
321,105.741821
322,105.385086
323,105.630875
324,108.492805
325,108.651344
326,109.785042
327,109.840523
328,109.356949
329,109.182518
330,109.658173
331,110.672974
332,110.696785
333,110.26075
